X1 (Obs State 1);X2 (Obs State 2);Ref;U (action control);V1 (Real State 1);V2 (Real State 2)
Volt [V];Volt [V];Volt [V];Volt [V];Volt [V];Volt [V];
-1.55;-0.02;-1.50;0.01;-1.56;0.00;
-1.53;-0.02;-1.50;0.00;-1.56;0.01;
-1.53;-0.01;-1.50;0.01;-1.56;0.02;
-1.54;-0.01;-1.50;0.02;-1.56;0.00;
-1.54;-0.02;-1.50;0.01;-1.54;-0.02;
-1.51;-0.03;-1.50;-0.01;-1.51;-0.01;
-1.49;-0.01;-1.50;-0.01;-1.51;0.01;
-1.51;0.01;-1.50;0.02;-1.53;0.04;
-1.55;0.01;-1.50;0.03;-1.57;0.02;
-1.56;-0.01;-1.50;0.02;-1.58;-0.02;
-1.55;-0.04;-1.50;0.00;-1.55;-0.04;
-1.50;-0.04;-1.50;-0.02;-1.52;-0.03;
-1.49;-0.00;-1.50;-0.00;-1.51;-0.01;
-1.51;0.01;-1.50;0.01;-1.51;0.00;
-1.52;-0.01;-1.50;0.00;-1.52;-0.01;
-1.51;-0.01;-1.50;-0.00;-1.52;-0.00;
-1.51;-0.00;-1.50;0.00;-1.53;0.01;
-1.53;0.00;-1.50;0.02;-1.54;0.02;
-1.54;-0.01;-1.50;0.01;-1.55;0.01;
-1.54;-0.02;-1.50;0.01;-1.54;-0.01;
-1.52;-0.02;-1.50;-0.01;-1.53;0.00;
-1.51;-0.01;-1.50;-0.00;-1.52;0.01;
-1.52;0.00;-1.50;0.01;-1.52;0.01;
-1.52;-0.01;-1.50;0.01;-1.52;-0.00;
-1.51;-0.01;-1.50;-0.00;-1.51;-0.00;
-1.50;-0.01;-1.50;-0.01;-1.51;0.00;
-1.50;0.00;-1.50;0.00;-1.52;0.00;
-1.52;0.01;-1.50;0.02;-1.53;0.01;
-1.53;-0.01;-1.50;0.01;-1.54;-0.01;
-1.52;-0.02;-1.50;-0.00;-1.53;-0.03;
-1.51;-0.01;-1.50;-0.00;-1.52;-0.02;
-1.50;-0.01;-1.50;-0.00;-1.51;-0.01;
-1.51;-0.00;-1.50;0.00;-1.51;-0.00;
-1.51;-0.00;-1.50;0.01;-1.52;0.01;
-1.52;-0.00;-1.50;0.01;-1.54;0.02;
-1.53;-0.00;-1.50;0.02;-1.55;0.01;
-1.54;-0.01;-1.50;0.02;-1.54;-0.00;
-1.52;-0.03;-1.50;-0.01;-1.52;-0.02;
-1.50;-0.01;-1.50;-0.01;-1.51;0.01;
-1.50;0.01;-1.50;0.01;-1.52;0.04;
-1.53;0.01;-1.50;0.02;-1.56;0.04;
-1.56;0.00;-1.50;0.04;-1.59;0.02;
-1.58;-0.02;-1.50;0.03;-1.59;-0.02;
-1.55;-0.05;-1.50;-0.01;-1.56;-0.04;
-1.51;-0.03;-1.50;-0.02;-1.53;-0.03;
-1.50;-0.01;-1.50;-0.00;-1.51;-0.01;
-1.51;0.00;-1.50;0.01;-1.52;-0.00;
-1.52;-0.00;-1.50;0.01;-1.54;0.00;
-1.54;-0.00;-1.50;0.02;-1.55;0.02;
-1.54;-0.01;-1.50;0.01;-1.57;0.00;
-1.55;-0.01;-1.50;0.02;-1.57;-0.01;
-1.55;-0.03;-1.50;0.01;-1.55;-0.02;
-1.52;-0.03;-1.50;-0.01;-1.53;-0.01;
-1.50;-0.01;-1.50;-0.01;-1.52;0.02;
-1.52;0.01;-1.50;0.02;-1.54;0.03;
-1.54;-0.00;-1.50;0.02;-1.55;0.02;
-1.54;-0.02;-1.50;0.01;-1.54;-0.00;
-1.51;-0.03;-1.50;-0.01;-1.53;0.00;
-1.51;-0.00;-1.50;0.00;-1.54;0.03;
-1.54;0.01;-1.50;0.03;-1.57;0.03;
-1.56;-0.01;-1.50;0.03;-1.59;0.01;
-1.57;-0.03;-1.50;0.02;-1.60;-0.01;
-1.57;-0.03;-1.50;0.02;-1.59;-0.03;
-1.55;-0.04;-1.50;-0.00;-1.56;-0.04;
-1.52;-0.03;-1.50;-0.01;-1.53;-0.04;
-1.50;-0.01;-1.50;-0.00;-1.51;-0.01;
-1.51;0.00;-1.50;0.01;-1.52;0.00;
-1.52;0.00;-1.50;0.01;-1.53;0.01;
-1.52;-0.01;-1.50;0.01;-1.54;-0.00;
-1.53;-0.01;-1.50;0.01;-1.54;0.01;
-1.53;-0.01;-1.50;0.01;-1.55;0.02;
-1.54;-0.01;-1.50;0.02;-1.57;0.03;
-1.56;-0.01;-1.50;0.03;-1.58;0.02;
-1.56;-0.03;-1.50;0.01;-1.58;0.00;
-1.55;-0.03;-1.50;0.00;-1.56;-0.02;
-1.52;-0.03;-1.50;-0.01;-1.53;-0.01;
-1.51;-0.01;-1.50;-0.00;-1.51;-0.01;
-1.50;-0.00;-1.50;-0.00;-1.50;-0.01;
-1.49;-0.01;-1.50;-0.01;-1.49;-0.00;
-1.49;0.00;-1.50;-0.00;-1.50;-0.00;
-1.51;0.01;-1.50;0.01;-1.51;0.01;
-1.51;-0.01;-1.50;0.00;-1.52;-0.01;
-1.51;-0.00;-1.50;0.00;-1.52;-0.01;
-1.51;-0.00;-1.50;0.00;-1.52;0.00;
-1.52;-0.00;-1.50;0.01;-1.54;0.01;
-1.54;0.00;-1.50;0.02;-1.56;0.02;
-1.55;-0.01;-1.50;0.02;-1.58;0.01;
-1.56;-0.02;-1.50;0.02;-1.58;-0.00;
-1.55;-0.03;-1.50;0.01;-1.57;-0.01;
-1.53;-0.03;-1.50;-0.00;-1.54;-0.00;
-1.51;-0.02;-1.50;-0.01;-1.53;0.00;
-1.51;-0.00;-1.50;0.00;-1.52;0.01;
-1.52;-0.00;-1.50;0.01;-1.52;0.01;
-1.51;-0.01;-1.50;-0.00;-1.53;0.01;
-1.52;0.00;-1.50;0.01;-1.55;0.02;
-1.55;0.00;-1.50;0.03;-1.55;-0.00;
-1.53;-0.03;-1.50;-0.00;-1.55;-0.02;
-1.52;-0.02;-1.50;-0.01;-1.54;-0.02;
-1.52;-0.00;-1.50;0.01;-1.53;-0.01;
-1.52;-0.01;-1.50;0.00;-1.52;-0.03;
-1.50;-0.02;-1.50;-0.01;-1.51;-0.02;
-1.50;-0.00;-1.50;-0.00;-1.50;-0.01;
-1.50;0.00;-1.50;-0.00;-1.50;0.00;
-1.50;0.00;-1.50;0.00;-1.51;0.01;
-1.51;0.01;-1.50;0.01;-1.52;0.02;
-1.52;-0.00;-1.50;0.01;-1.53;0.01;
-1.53;-0.01;-1.50;0.01;-1.54;0.02;
-1.53;-0.01;-1.50;0.01;-1.53;0.00;
-1.52;-0.02;-1.50;-0.00;-1.53;0.01;
-1.52;-0.00;-1.50;0.01;-1.53;0.01;
-1.53;-0.01;-1.50;0.01;-1.54;0.01;
-1.53;-0.01;-1.50;0.01;-1.56;0.02;
-1.55;-0.01;-1.50;0.02;-1.57;-0.00;
-1.55;-0.02;-1.50;0.01;-1.56;-0.02;
-1.53;-0.03;-1.50;-0.00;-1.54;-0.04;
-1.51;-0.02;-1.50;-0.01;-1.51;-0.03;
-1.49;-0.01;-1.50;-0.01;-1.49;-0.02;
-1.49;0.00;-1.50;-0.01;-1.49;0.01;
-1.50;0.01;-1.50;0.01;-1.51;0.02;
-1.52;0.01;-1.50;0.02;-1.54;0.03;
-1.54;-0.00;-1.50;0.02;-1.57;0.02;
-1.55;-0.02;-1.50;0.02;-1.57;0.00;
-1.54;-0.03;0.50;1.08;-1.56;-0.01;
-0.77;-1.30;0.50;-0.16;-0.88;-1.15;
0.51;-1.04;0.50;-0.68;0.40;-1.00;
1.12;-0.16;0.50;-0.44;1.16;-0.26;
1.06;0.33;0.50;-0.08;1.18;0.21;
0.76;0.36;0.50;0.09;0.87;0.31;
0.54;0.18;0.50;0.10;0.55;0.20;
0.41;0.06;0.50;0.09;0.36;0.11;
0.34;-0.02;0.50;0.08;0.29;0.01;
0.35;-0.08;0.50;0.03;0.32;-0.07;
0.42;-0.09;0.50;-0.02;0.41;-0.10;
0.51;-0.07;0.50;-0.05;0.52;-0.07;
0.57;-0.01;0.50;-0.05;0.56;0.01;
0.55;0.05;0.50;0.01;0.54;0.05;
0.49;0.04;0.50;0.03;0.49;0.05;
0.46;0.00;0.50;0.02;0.45;0.01;
0.46;-0.02;0.50;0.01;0.44;-0.01;
0.46;-0.02;0.50;0.01;0.45;-0.03;
0.47;-0.02;0.50;0.00;0.46;-0.02;
0.48;-0.01;0.50;0.00;0.47;-0.01;
0.48;-0.01;0.50;0.00;0.46;0.01;
0.47;-0.00;0.50;0.01;0.45;0.02;
0.46;-0.01;0.50;0.02;0.45;0.01;
0.47;-0.02;0.50;0.01;0.46;-0.01;
0.49;-0.03;0.50;-0.01;0.48;-0.01;
0.50;-0.01;0.50;-0.01;0.48;0.02;
0.47;0.01;0.50;0.02;0.46;0.01;
0.45;-0.00;0.50;0.02;0.44;-0.00;
0.46;-0.03;0.50;0.00;0.44;-0.02;
0.47;-0.02;0.50;0.00;0.45;-0.01;
0.47;-0.01;0.50;0.01;0.45;0.00;
0.46;-0.01;0.50;0.01;0.45;-0.00;
0.47;-0.02;0.50;0.01;0.47;-0.01;
0.50;-0.03;0.50;-0.02;0.50;-0.01;
0.52;-0.00;0.50;-0.01;0.50;0.01;
0.49;0.02;0.50;0.02;0.48;0.04;
0.46;0.01;0.50;0.03;0.44;0.02;
0.44;-0.01;0.50;0.02;0.43;-0.00;
0.45;-0.03;0.50;0.01;0.43;-0.02;
0.46;-0.02;0.50;0.01;0.43;-0.01;
0.46;-0.02;0.50;0.01;0.43;0.00;
0.45;-0.02;0.50;0.01;0.44;-0.01;
0.46;-0.02;0.50;0.00;0.46;-0.01;
0.49;-0.03;0.50;-0.01;0.48;-0.01;
0.50;-0.01;0.50;-0.01;0.50;-0.01;
0.51;0.00;0.50;-0.00;0.51;-0.01;
0.51;0.00;0.50;-0.00;0.52;-0.01;
0.51;0.00;0.50;-0.01;0.52;-0.01;
0.51;0.01;0.50;-0.00;0.50;0.01;
0.49;0.01;0.50;0.01;0.49;0.03;
0.48;-0.00;0.50;0.01;0.47;0.01;
0.48;-0.01;0.50;0.01;0.46;0.02;
0.47;-0.01;0.50;0.01;0.45;0.03;
0.45;-0.01;0.50;0.02;0.43;0.01;
0.45;-0.02;0.50;0.02;0.44;-0.01;
0.47;-0.04;0.50;-0.01;0.47;-0.03;
0.50;-0.02;0.50;-0.01;0.50;-0.03;
0.51;-0.00;0.50;-0.01;0.51;-0.01;
0.50;0.01;0.50;0.00;0.50;0.00;
0.49;0.01;0.50;0.01;0.48;0.02;
0.48;-0.00;0.50;0.01;0.47;0.01;
0.47;-0.01;0.50;0.01;0.46;0.02;
0.47;-0.01;0.50;0.01;0.46;0.01;
0.47;-0.01;0.50;0.01;0.46;0.01;
0.48;-0.02;0.50;0.00;0.46;0.01;
0.47;-0.01;0.50;0.01;0.45;0.01;
0.45;-0.01;0.50;0.02;0.44;-0.00;
0.45;-0.02;0.50;0.01;0.45;-0.03;
0.48;-0.03;0.50;-0.01;0.48;-0.04;
0.51;-0.02;0.50;-0.02;0.51;-0.03;
0.52;-0.00;0.50;-0.01;0.52;0.00;
0.51;0.02;0.50;0.01;0.51;0.04;
0.49;0.01;0.50;0.02;0.46;0.05;
0.45;0.01;0.50;0.03;0.43;0.03;
0.43;-0.02;0.50;0.02;0.42;-0.01;
0.46;-0.04;0.50;-0.00;0.45;-0.03;
0.50;-0.03;0.50;-0.02;0.48;-0.03;
0.50;-0.00;0.50;-0.00;0.49;-0.01;
0.49;0.01;0.50;0.01;0.48;0.00;
0.48;-0.00;0.50;0.01;0.48;-0.01;
0.49;-0.02;0.50;-0.01;0.49;-0.02;
0.51;-0.01;0.50;-0.01;0.51;-0.01;
0.52;-0.00;0.50;-0.01;0.52;0.01;
0.52;0.01;0.50;-0.00;0.53;0.01;
0.52;0.01;0.50;-0.00;0.53;0.01;
0.52;0.01;0.50;-0.00;0.51;0.01;
0.50;0.02;0.50;0.01;0.50;0.01;
0.49;0.00;0.50;0.01;0.48;-0.01;
0.48;-0.01;0.50;0.00;0.47;0.01;
0.48;-0.00;0.50;0.01;0.46;0.02;
0.46;-0.00;0.50;0.02;0.43;0.03;
0.44;-0.01;0.50;0.03;0.41;0.02;
0.43;-0.03;0.50;0.02;0.41;0.01;
0.45;-0.04;0.50;0.00;0.43;-0.01;
0.47;-0.03;0.50;-0.00;0.45;-0.01;
0.48;-0.01;0.50;0.00;0.47;-0.01;
0.48;-0.01;0.50;0.00;0.48;-0.01;
0.49;-0.01;0.50;-0.00;0.48;-0.01;
0.48;-0.00;0.50;0.01;0.47;0.00;
0.47;0.00;0.50;0.02;0.45;0.01;
0.46;-0.01;0.50;0.01;0.44;0.00;
0.46;-0.02;0.50;0.01;0.45;-0.00;
0.47;-0.02;0.50;0.00;0.46;0.01;
0.49;-0.02;0.50;-0.00;0.47;0.01;
0.48;-0.00;0.50;0.01;0.47;0.01;
0.47;-0.01;0.50;0.01;0.46;0.01;
0.47;-0.01;0.50;0.01;0.45;-0.01;
0.47;-0.01;0.50;0.01;0.46;-0.03;
0.48;-0.02;0.50;-0.01;0.48;-0.02;
0.50;-0.01;0.50;-0.01;0.49;-0.01;
0.49;0.00;0.50;0.00;0.49;0.00;
0.49;-0.00;0.50;0.00;0.49;0.02;
0.50;-0.00;0.50;-0.00;0.48;0.03;
0.47;0.01;0.50;0.02;0.46;0.03;
0.45;-0.00;0.50;0.02;0.44;0.01;
0.46;-0.02;0.50;0.01;0.45;-0.01;
0.48;-0.03;0.50;-0.00;0.45;-0.01;
0.47;-0.01;0.50;0.01;0.45;-0.01;
0.46;-0.01;0.50;0.02;0.46;-0.02;
0.48;-0.03;0.50;-0.01;0.48;-0.03;
0.51;-0.02;0.50;-0.01;0.51;-0.02;
0.52;-0.00;0.50;-0.01;0.52;0.02;
0.51;0.02;0.50;0.01;0.50;0.05;
0.48;0.01;0.50;0.02;0.45;0.05;
0.44;0.00;0.50;0.03;0.41;0.03;
0.42;-0.02;0.50;0.03;0.40;-0.01;
0.44;-0.04;0.50;0.00;0.42;-0.03;
0.47;-0.04;0.50;-0.01;0.45;-0.03;
0.48;-0.02;0.50;-0.00;0.47;-0.02;
0.48;-0.00;0.50;0.01;0.48;-0.01;
0.49;-0.02;0.50;-0.01;0.49;0.00;
0.50;-0.00;0.50;-0.00;0.48;0.02;
0.48;0.01;0.50;0.02;0.47;0.02;
0.47;-0.01;0.50;0.01;0.47;0.00;
0.48;-0.02;0.50;-0.00;0.48;-0.02;
0.49;-0.01;0.50;-0.01;0.49;-0.02;
0.50;-0.00;0.50;-0.00;0.50;-0.02;
0.50;0.00;0.50;-0.00;0.51;-0.01;
0.51;0.00;0.50;-0.00;0.50;0.01;
0.49;0.01;0.50;0.01;0.49;0.02;
0.48;-0.00;0.50;0.01;0.48;0.01;
0.48;-0.01;0.50;0.00;0.48;0.02;
0.49;-0.01;0.50;0.00;0.47;0.02;
0.47;0.00;0.50;0.02;0.45;0.02;
0.45;-0.00;0.50;0.03;0.44;0.00;
0.46;-0.03;0.50;0.01;0.44;-0.02;
0.47;-0.03;0.50;-0.00;0.45;-0.02;
0.47;-0.01;0.50;0.01;0.45;-0.00;
0.46;-0.01;0.50;0.02;0.45;0.00;
0.46;-0.02;0.50;0.01;0.45;-0.00;
0.47;-0.02;0.50;0.00;0.45;0.01;
0.47;-0.01;0.50;0.01;0.45;0.02;
0.47;-0.01;0.50;0.01;0.44;0.02;
0.45;-0.01;0.50;0.02;0.44;0.00;
0.46;-0.02;0.50;0.01;0.45;-0.02;
0.48;-0.03;0.50;-0.01;0.47;-0.02;
0.49;-0.01;0.50;0.00;0.47;0.00;
0.47;0.01;0.50;0.02;0.45;0.01;
0.45;-0.01;0.50;0.02;0.43;0.00;
0.45;-0.03;0.50;0.01;0.43;-0.01;
0.46;-0.03;0.50;0.00;0.44;0.00;
0.46;-0.01;0.50;0.01;0.44;0.02;
0.45;-0.01;0.50;0.02;0.44;0.00;
0.47;-0.03;0.50;0.00;0.47;-0.02;
0.50;-0.03;0.50;-0.02;0.49;-0.02;
0.51;-0.00;0.50;-0.01;0.50;0.00;
0.49;0.01;0.50;0.01;0.49;0.01;
0.48;-0.00;0.50;0.01;0.48;-0.01;
0.48;-0.01;0.50;0.00;0.49;-0.02;
0.50;-0.01;0.50;-0.01;0.50;-0.01;
0.51;-0.00;0.50;-0.01;0.51;0.00;
0.51;0.01;0.50;-0.00;0.51;0.01;
0.50;0.01;0.50;0.00;0.50;0.02;
0.49;0.01;0.50;0.01;0.49;0.02;
0.48;0.00;0.50;0.01;0.47;0.02;
0.47;-0.00;0.50;0.02;0.45;-0.00;
0.45;-0.01;0.50;0.02;0.45;-0.02;
0.47;-0.03;0.50;-0.00;0.47;-0.03;
0.50;-0.02;0.50;-0.01;0.49;-0.02;
0.50;-0.00;0.50;-0.00;0.49;0.01;
0.49;0.01;0.50;0.01;0.47;0.03;
0.47;0.00;0.50;0.02;0.46;0.02;
0.47;-0.02;0.50;0.00;0.47;-0.00;
0.49;-0.02;0.50;-0.01;0.48;-0.00;
0.49;-0.00;0.50;0.00;0.48;-0.00;
0.48;-0.00;0.50;0.01;0.48;0.00;
0.48;-0.01;0.50;0.01;0.46;0.00;
0.47;-0.00;0.50;0.02;0.44;0.01;
0.45;-0.01;0.50;0.02;0.43;0.00;
0.45;-0.02;0.50;0.01;0.43;-0.01;
0.47;-0.03;0.50;-0.00;0.45;-0.02;
0.48;-0.02;0.50;-0.01;0.48;-0.00;
0.50;-0.01;0.50;-0.01;0.50;-0.01;
0.51;-0.00;0.50;-0.01;0.50;0.02;
0.49;0.01;0.50;0.02;0.48;0.02;
0.47;0.00;0.50;0.02;0.46;-0.00;
0.46;-0.01;0.50;0.01;0.46;-0.02;
0.49;-0.02;0.50;-0.01;0.47;-0.01;
0.48;-0.00;0.50;0.01;0.47;0.00;
0.47;-0.00;0.50;0.02;0.46;0.02;
0.46;-0.01;-1.50;-1.07;0.45;0.01;
-0.30;1.27;-1.50;0.18;-0.20;1.14;
-1.55;1.00;-1.50;0.68;-1.44;0.98;
-2.11;0.13;-1.50;0.41;-2.16;0.25;
-2.04;-0.33;-1.50;0.07;-2.18;-0.20;
-1.78;-0.34;-1.50;-0.07;-1.88;-0.29;
-1.57;-0.19;-1.50;-0.08;-1.60;-0.20;
-1.44;-0.07;-1.50;-0.08;-1.41;-0.11;
-1.37;0.00;-1.50;-0.07;-1.33;-0.02;
-1.37;0.06;-1.50;-0.03;-1.35;0.05;
-1.44;0.09;-1.50;0.02;-1.44;0.09;
-1.52;0.06;-1.50;0.05;-1.55;0.04;
-1.59;0.01;-1.50;0.05;-1.62;0.02;
-1.60;-0.04;-1.50;0.03;-1.62;-0.03;
-1.56;-0.06;-1.50;-0.01;-1.58;-0.05;
-1.52;-0.04;-1.50;-0.02;-1.54;-0.02;
-1.51;-0.01;-1.50;0.00;-1.53;0.01;
-1.53;0.00;-1.50;0.02;-1.55;0.02;
-1.55;-0.01;-1.50;0.02;-1.56;0.01;
-1.54;-0.03;-1.50;0.00;-1.55;-0.00;
-1.52;-0.03;-1.50;-0.01;-1.55;0.01;
-1.53;-0.00;-1.50;0.01;-1.54;0.01;
-1.53;-0.01;-1.50;0.01;-1.53;-0.01;
-1.51;-0.02;-1.50;-0.01;-1.51;-0.03;
-1.48;-0.01;-1.50;-0.02;-1.49;0.00;
-1.49;0.01;-1.50;-0.00;-1.50;0.02;
-1.51;0.02;-1.50;0.02;-1.54;0.03;
-1.55;0.01;-1.50;0.03;-1.57;0.01;
-1.56;-0.02;-1.50;0.01;-1.57;-0.03;
-1.53;-0.04;-1.50;-0.01;-1.54;-0.05;
-1.50;-0.02;-1.50;-0.01;-1.50;-0.04;
-1.48;-0.01;-1.50;-0.02;-1.48;-0.00;
-1.49;0.01;-1.50;0.00;-1.50;0.02;
-1.52;0.02;-1.50;0.02;-1.53;0.04;
-1.54;0.00;-1.50;0.03;-1.57;0.03;
-1.56;-0.01;-1.50;0.02;-1.58;0.02;
-1.56;-0.03;-1.50;0.01;-1.58;0.00;
-1.54;-0.03;-1.50;0.00;-1.56;-0.02;
-1.52;-0.02;-1.50;-0.00;-1.53;-0.01;
-1.51;-0.02;-1.50;-0.01;-1.51;-0.01;
-1.50;-0.01;-1.50;-0.00;-1.50;-0.00;
-1.49;-0.00;-1.50;-0.00;-1.50;-0.00;
-1.50;0.01;-1.50;0.00;-1.50;0.00;
-1.50;-0.00;-1.50;0.00;-1.51;0.00;
-1.52;0.01;-1.50;0.01;-1.53;0.01;
-1.53;-0.00;-1.50;0.01;-1.54;-0.00;
-1.53;-0.01;-1.50;0.01;-1.54;-0.02;
-1.52;-0.02;-1.50;-0.01;-1.52;-0.03;
-1.50;-0.02;-1.50;-0.01;-1.49;-0.02;
-1.48;-0.00;-1.50;-0.01;-1.48;0.01;
-1.49;0.01;-1.50;0.00;-1.51;0.04;
-1.53;0.02;-1.50;0.03;-1.56;0.06;
-1.57;-0.00;-1.50;0.04;-1.59;0.02;
-1.56;-0.04;-1.50;0.01;-1.57;-0.02;
-1.52;-0.04;-1.50;-0.02;-1.53;-0.04;
-1.49;-0.02;-1.50;-0.02;-1.49;-0.01;
-1.48;0.00;-1.50;-0.01;-1.49;0.01;
-1.50;0.02;-1.50;0.02;-1.51;0.04;
-1.53;0.01;-1.50;0.02;-1.55;0.02;
-1.55;-0.01;-1.50;0.03;-1.57;-0.00;
-1.55;-0.02;-1.50;0.01;-1.57;-0.02;
-1.54;-0.03;-1.50;0.00;-1.56;-0.03;
-1.53;-0.02;-1.50;0.00;-1.53;-0.02;
-1.51;-0.02;-1.50;-0.01;-1.52;-0.02;
-1.50;-0.00;-1.50;-0.00;-1.51;-0.01;
-1.51;0.00;-1.50;0.01;-1.51;0.00;
-1.51;-0.01;-1.50;0.00;-1.52;0.01;
-1.52;-0.00;-1.50;0.01;-1.54;0.02;
-1.54;0.00;-1.50;0.02;-1.56;0.03;
-1.55;-0.02;-1.50;0.02;-1.58;0.02;
-1.56;-0.02;-1.50;0.02;-1.59;0.00;
-1.56;-0.03;-1.50;0.01;-1.57;-0.01;
-1.53;-0.04;-1.50;-0.01;-1.53;-0.03;
-1.50;-0.02;-1.50;-0.02;-1.49;-0.03;
-1.48;-0.00;-1.50;-0.02;-1.47;-0.00;
-1.47;0.01;-1.50;-0.01;-1.48;0.02;
-1.50;0.03;-1.50;0.02;-1.52;0.02;
-1.54;0.01;-1.50;0.03;-1.55;0.01;
-1.54;-0.02;-1.50;0.01;-1.56;-0.01;
-1.53;-0.02;-1.50;0.00;-1.55;-0.02;
-1.53;-0.01;-1.50;0.01;-1.54;-0.01;
-1.52;-0.02;-1.50;-0.00;-1.54;-0.00;
-1.52;-0.00;-1.50;0.01;-1.54;0.01;
-1.53;-0.01;-1.50;0.01;-1.54;-0.01;
-1.52;-0.02;-1.50;0.00;-1.52;-0.02;
-1.50;-0.02;-1.50;-0.02;-1.50;-0.01;
-1.49;-0.00;-1.50;-0.01;-1.49;0.02;
-1.49;0.01;-1.50;0.00;-1.51;0.03;
-1.52;0.01;-1.50;0.02;-1.53;0.03;
-1.53;-0.01;-1.50;0.01;-1.55;0.02;
-1.53;-0.01;-1.50;0.01;-1.55;-0.00;
-1.54;-0.01;-1.50;0.01;-1.53;-0.02;
-1.51;-0.03;-1.50;-0.02;-1.51;-0.02;
-1.49;-0.01;-1.50;-0.01;-1.51;0.01;
-1.52;0.02;-1.50;0.03;-1.54;0.03;
-1.55;0.00;-1.50;0.03;-1.58;0.02;
-1.57;-0.02;-1.50;0.02;-1.60;-0.00;
-1.57;-0.03;-1.50;0.02;-1.60;-0.01;
-1.57;-0.03;-1.50;0.02;-1.59;-0.03;
-1.55;-0.04;-1.50;0.00;-1.56;-0.04;
-1.52;-0.03;-1.50;-0.01;-1.52;-0.03;
-1.49;-0.02;-1.50;-0.02;-1.50;0.00;
-1.50;0.01;-1.50;0.01;-1.52;0.03;
-1.53;0.01;-1.50;0.03;-1.55;0.04;
-1.56;-0.01;-1.50;0.03;-1.59;0.03;
-1.57;-0.02;-1.50;0.03;-1.60;0.02;
-1.57;-0.03;-1.50;0.02;-1.59;-0.00;
-1.55;-0.04;-1.50;0.00;-1.58;-0.02;
-1.54;-0.02;-1.50;0.01;-1.55;-0.02;
-1.52;-0.03;-1.50;-0.01;-1.53;-0.01;
-1.51;-0.01;-1.50;-0.00;-1.52;-0.01;
-1.51;0.00;-1.50;0.01;-1.51;-0.00;
-1.51;-0.01;-1.50;0.00;-1.52;0.00;
-1.51;-0.00;-1.50;0.00;-1.53;0.00;
-1.53;0.00;-1.50;0.01;-1.54;0.01;
-1.54;-0.01;-1.50;0.02;-1.56;-0.01;
-1.54;-0.02;-1.50;0.01;-1.55;-0.02;
-1.53;-0.03;-1.50;-0.00;-1.53;-0.03;
-1.50;-0.02;-1.50;-0.01;-1.50;-0.02;
-1.49;-0.01;-1.50;-0.01;-1.50;0.01;
-1.50;0.01;-1.50;0.01;-1.52;0.04;
-1.54;0.01;-1.50;0.03;-1.55;0.03;
-1.55;-0.01;-1.50;0.02;-1.56;-0.00;
-1.53;-0.03;-1.50;-0.01;-1.53;-0.02;
-1.50;-0.02;-1.50;-0.02;-1.50;-0.02;
-1.48;-0.00;-1.50;-0.01;-1.49;0.01;
-1.49;0.01;-1.50;0.01;-1.50;0.03;
-1.52;0.01;-1.50;0.02;-1.54;0.04;
-1.55;0.00;-1.50;0.03;-1.58;0.02;
-1.57;-0.01;-1.50;0.03;-1.59;-0.02;
-1.55;-0.04;-1.50;-0.00;-1.55;-0.06;
-1.50;-0.04;-1.50;-0.03;-1.50;-0.06;
-1.47;-0.01;-1.50;-0.03;-1.46;-0.02;
-1.47;0.02;-1.50;-0.01;-1.46;0.01;
-1.48;0.02;-1.50;0.00;-1.48;0.02;
-1.50;0.02;-1.50;0.01;-1.50;0.03;
-1.52;0.01;-1.50;0.01;-1.54;0.04;
-1.54;0.00;-1.50;0.03;-1.57;0.03;
-1.56;-0.01;-1.50;0.02;-1.58;0.02;
-1.55;-0.03;-1.50;0.00;-1.57;-0.00;
-1.54;-0.03;-1.50;0.00;-1.56;0.00;
-1.54;-0.01;-1.50;0.01;-1.55;0.00;
-1.53;-0.02;-1.50;0.00;-1.55;-0.01;
-1.53;-0.02;-1.50;0.00;-1.53;-0.01;
-1.51;-0.02;-1.50;-0.00;-1.52;-0.01;
-1.51;-0.01;-1.50;0.00;-1.53;-0.00;
-1.53;0.00;-1.50;0.02;-1.54;0.00;
-1.53;-0.01;-1.50;0.01;-1.54;-0.02;
-1.52;-0.02;-1.50;-0.00;-1.52;-0.03;
-1.50;-0.01;-1.50;-0.01;-1.51;-0.02;
-1.50;0.00;-1.50;0.00;-1.49;-0.01;
-1.49;-0.00;-1.50;-0.01;-1.49;-0.00;
-1.49;0.01;-1.50;0.00;-1.50;0.01;
-1.51;0.01;-1.50;0.01;-1.51;0.02;
-1.51;-0.00;-1.50;0.01;-1.53;0.03;
-1.53;0.00;-1.50;0.02;-1.55;0.04;
-1.54;-0.01;-1.50;0.02;-1.57;0.02;
-1.56;-0.01;-1.50;0.02;-1.58;0.00;
-1.55;-0.03;-1.50;0.01;-1.56;-0.01;
-1.52;-0.03;-1.50;-0.01;-1.54;-0.01;
-1.51;-0.01;-1.50;-0.00;-1.53;-0.01;
-1.52;0.00;-1.50;0.01;-1.52;-0.00;
-1.52;-0.01;-1.50;0.00;-1.51;-0.02;
-1.50;-0.02;-1.50;-0.01;-1.50;-0.02;
-1.49;0.00;-1.50;-0.00;-1.50;0.01;
-1.51;0.01;-1.50;0.01;-1.53;0.01;
-1.54;0.01;-1.50;0.02;-1.55;0.00;
-1.55;-0.01;-1.50;0.02;-1.55;-0.01;
