X1 (Obs State 1);X2 (Obs State 2);Ref;U (action control);V1 (Real State 1);V2 (Real State 2)
Volt [V];Volt [V];Volt [V];Volt [V];Volt [V];Volt [V];
-1.53;0.00;-1.50;0.02;-1.54;-0.00;
-1.54;-0.01;-1.50;0.01;-1.54;-0.02;
-1.52;-0.02;-1.50;-0.01;-1.52;-0.03;
-1.50;-0.01;-1.50;-0.01;-1.49;-0.02;
-1.48;-0.01;-1.50;-0.01;-1.48;-0.02;
-1.48;0.01;-1.50;-0.01;-1.48;0.02;
-1.50;0.02;-1.50;0.01;-1.50;0.03;
-1.52;0.01;-1.50;0.01;-1.53;0.02;
-1.53;-0.00;-1.50;0.01;-1.53;0.00;
-1.51;-0.02;-1.50;-0.01;-1.51;-0.01;
-1.49;-0.02;-1.50;-0.02;-1.48;-0.01;
-1.48;0.00;-1.50;-0.01;-1.48;0.02;
-1.50;0.02;-1.50;0.01;-1.52;0.04;
-1.54;0.02;-1.50;0.03;-1.55;0.03;
-1.55;-0.01;-1.50;0.02;-1.56;-0.02;
-1.53;-0.03;-1.50;-0.00;-1.54;-0.03;
-1.51;-0.02;-1.50;-0.01;-1.51;-0.03;
-1.49;-0.01;-1.50;-0.01;-1.51;-0.04;
-1.51;0.01;-1.50;0.01;-1.52;0.00;
-1.53;0.00;-1.50;0.02;-1.53;-0.01;
-1.52;-0.02;-1.50;-0.00;-1.52;-0.02;
-1.50;-0.01;-1.50;-0.01;-1.51;-0.01;
-1.50;-0.00;-1.50;-0.00;-1.50;-0.00;
-1.50;-0.00;-1.50;-0.00;-1.50;0.01;
-1.51;0.01;-1.50;0.01;-1.51;0.02;
-1.51;-0.00;-1.50;0.00;-1.52;0.03;
-1.52;0.00;-1.50;0.01;-1.55;0.03;
-1.55;0.00;-1.50;0.03;-1.56;0.02;
-1.55;-0.02;-1.50;0.01;-1.57;-0.00;
-1.54;-0.03;-1.50;0.00;-1.55;-0.02;
-1.52;-0.02;-1.50;-0.00;-1.53;-0.02;
-1.50;-0.02;-1.50;-0.01;-1.51;-0.01;
-1.49;-0.00;-1.50;-0.01;-1.51;-0.01;
-1.51;0.01;-1.50;0.01;-1.50;-0.01;
-1.50;-0.01;-1.50;-0.00;-1.50;-0.02;
-1.49;-0.01;-1.50;-0.01;-1.49;-0.01;
-1.49;0.01;-1.50;0.00;-1.50;0.02;
-1.51;0.01;-1.50;0.01;-1.53;0.03;
-1.54;0.01;-1.50;0.03;-1.57;0.04;
-1.57;-0.01;-1.50;0.03;-1.59;0.00;
-1.56;-0.04;-1.50;0.01;-1.57;-0.02;
-1.52;-0.04;-1.50;-0.02;-1.52;-0.04;
-1.47;-0.03;-1.50;-0.03;-1.47;-0.01;
-1.46;0.01;-1.50;-0.02;-1.47;0.03;
-1.50;0.04;-1.50;0.03;-1.52;0.06;
-1.55;0.02;-1.50;0.04;-1.57;0.04;
-1.56;-0.02;-1.50;0.02;-1.59;0.00;
-1.56;-0.03;-1.50;0.01;-1.59;-0.02;
-1.55;-0.03;-1.50;0.01;-1.56;-0.04;
-1.52;-0.03;-1.50;-0.01;-1.53;-0.03;
-1.50;-0.02;-1.50;-0.01;-1.51;-0.03;
-1.50;-0.00;-1.50;-0.00;-1.51;0.00;
-1.51;0.01;-1.50;0.01;-1.53;0.01;
-1.54;0.00;-1.50;0.02;-1.54;0.00;
-1.53;-0.02;-1.50;0.00;-1.53;-0.02;
-1.51;-0.02;-1.50;-0.01;-1.53;-0.00;
-1.52;0.00;-1.50;0.01;-1.52;0.01;
-1.51;-0.01;-1.50;0.00;-1.51;-0.00;
-1.50;-0.01;-1.50;-0.01;-1.50;0.00;
-1.50;-0.00;-1.50;-0.00;-1.49;0.01;
-1.49;0.00;-1.50;-0.00;-1.50;0.01;
-1.50;0.01;-1.50;0.01;-1.51;0.01;
-1.52;0.01;-1.50;0.01;-1.53;0.02;
-1.53;-0.01;-1.50;0.01;-1.54;0.00;
-1.53;-0.01;-1.50;0.01;-1.55;0.00;
-1.54;-0.01;-1.50;0.02;-1.56;0.01;
-1.55;-0.01;-1.50;0.02;-1.57;-0.01;
-1.55;-0.02;-1.50;0.01;-1.57;-0.02;
-1.53;-0.03;-1.50;-0.00;-1.54;-0.04;
-1.51;-0.02;-1.50;-0.01;-1.51;-0.03;
-1.49;-0.01;-1.50;-0.02;-1.50;0.00;
-1.50;0.02;-1.50;0.01;-1.52;0.04;
-1.54;0.01;-1.50;0.03;-1.55;0.02;
-1.55;-0.01;-1.50;0.02;-1.57;0.01;
-1.54;-0.02;-1.50;0.01;-1.56;-0.00;
-1.53;-0.02;-1.50;0.00;-1.55;0.01;
-1.53;-0.02;-1.50;0.01;-1.55;0.01;
-1.53;-0.01;-1.50;0.01;-1.55;0.02;
-1.54;-0.01;-1.50;0.01;-1.57;0.02;
-1.55;-0.01;-1.50;0.02;-1.57;0.00;
-1.55;-0.03;-1.50;0.01;-1.56;-0.02;
-1.53;-0.03;-1.50;-0.00;-1.55;-0.01;
-1.52;-0.01;-1.50;0.00;-1.54;-0.01;
-1.53;-0.00;-1.50;0.01;-1.54;-0.01;
-1.53;-0.02;-1.50;0.01;-1.54;-0.02;
-1.52;-0.02;-1.50;-0.00;-1.53;-0.02;
-1.51;-0.01;-1.50;0.00;-1.52;-0.01;
-1.52;-0.00;-1.50;0.01;-1.53;0.00;
-1.52;-0.00;-1.50;0.01;-1.54;0.01;
-1.54;-0.01;-1.50;0.02;-1.55;-0.00;
-1.53;-0.02;-1.50;0.01;-1.54;-0.01;
-1.52;-0.02;-1.50;-0.00;-1.52;-0.01;
-1.50;-0.01;-1.50;-0.01;-1.51;0.01;
-1.50;0.00;-1.50;0.00;-1.52;0.02;
-1.52;0.00;-1.50;0.01;-1.52;0.02;
-1.52;-0.01;-1.50;0.00;-1.53;0.00;
-1.51;-0.01;-1.50;0.00;-1.53;0.01;
-1.52;-0.00;-1.50;0.01;-1.53;0.01;
-1.53;-0.01;-1.50;0.01;-1.54;0.02;
-1.53;-0.01;0.50;1.09;-1.55;-0.00;
-0.77;-1.30;0.50;-0.16;-0.89;-1.16;
0.50;-1.04;0.50;-0.68;0.40;-1.03;
1.12;-0.17;0.50;-0.45;1.15;-0.28;
1.05;0.34;0.50;-0.07;1.17;0.22;
0.75;0.36;0.50;0.10;0.84;0.33;
0.51;0.18;0.50;0.11;0.52;0.23;
0.38;0.05;0.50;0.10;0.32;0.11;
0.31;-0.03;0.50;0.08;0.25;0.02;
0.33;-0.10;0.50;0.03;0.29;-0.06;
0.41;-0.11;0.50;-0.02;0.39;-0.08;
0.49;-0.06;0.50;-0.04;0.48;-0.06;
0.52;-0.01;0.50;-0.02;0.53;-0.02;
0.53;0.01;0.50;-0.01;0.53;0.00;
0.51;0.02;0.50;0.01;0.51;0.01;
0.49;0.01;0.50;0.01;0.48;0.02;
