;-0.01;
-1.49;-0.01;-1.50;-0.01;-1.48;-0.00;
-1.48;0.00;-1.50;-0.01;-1.48;0.02;
-1.49;0.01;-1.50;0.00;-1.49;0.02;
0.01;-1.50;-0.01;
-1.49;-0.01;-1.50;-0.01;-1.48;-0.00;
-1.48;0.00;-1.50;-0.01;-1.48;0.02;
-1.49;0.01;-1.50;0.00;-1.49;0.02;
X1;X2;Ref;U;V1;V2
0.00;0.00;-1.50;-0.81;-1.25;0.04;
-2.26;1.71;-1.50;1.53;-1.85;0.98;
-2.67;-0.35;-1.50;0.40;-2.03;-0.72;
-1.11;-1.21;-1.50;-1.00;-0.88;-1.21;
-0.06;-0.16;-1.50;-0.88;-0.08;-0.09;
-0.52;0.90;-1.50;0.05;-0.55;0.92;
-1.60;0.85;-1.50;0.61;-1.61;0.87;
-2.20;0.14;-1.50;0.47;-2.24;0.19;
-2.08;-0.40;-1.50;0.05;-2.14;-0.35;
-1.65;-0.43;-1.50;-0.20;-1.67;-0.43;
-1.31;-0.18;-1.50;-0.22;-1.29;-0.21;
-1.23;0.07;-1.50;-0.10;-1.19;0.04;
-1.33;0.16;-1.50;0.02;-1.31;0.15;
-1.48;0.13;-1.50;0.08;-1.48;0.13;
-1.59;0.04;-1.50;0.07;-1.60;0.04;
-1.60;-0.04;-1.50;0.03;-1.61;-0.05;
-1.55;-0.06;-1.50;-0.01;-1.56;-0.06;
-1.49;-0.04;-1.50;-0.03;-1.51;-0.04;
-1.48;0.00;-1.50;-0.01;-1.50;0.01;
-1.51;0.02;-1.50;0.02;-1.52;0.02;
-1.54;0.00;-1.50;0.02;-1.53;0.01;
-1.52;-0.02;-1.50;-0.01;-1.52;-0.01;
-1.50;-0.02;-1.50;-0.01;-1.50;-0.01;
-1.49;-0.00;-1.50;-0.01;-1.49;0.02;
-1.49;0.01;-1.50;0.00;-1.50;0.02;
-1.51;0.01;-1.50;0.01;-1.51;0.02;
-1.52;-0.00;-1.50;0.01;-1.51;-0.01;
-1.50;-0.01;-1.50;-0.01;-1.50;-0.01;
