X1_ct;X2_ct;X3_;0.00;-0.00;-1.50;0.01;-1.54;0.02;

-1.51;-0.01;-0.00;-1.50;0.00;-1.52;0.01;
-1.51;-0.01;-0.00;-1.50;0.00;-1.53;-0.01;
-1.51;-0.00;-0.00;-1.50;0.01;-1.54;0.02;
X1_ct;X2_ct;X3_ct;Ref_ct;U_ct;V1_ct;V2_ct
0.00;0.00;0.00;-1.50;-0.81;-1.44;0.08;
-1.60;1.14;-0.01;-1.50;0.81;-2.11;1.03;
-2.76;0.25;-0.01;-1.50;0.85;-2.50;0.13;
-2.28;-0.78;-0.01;-1.50;-0.08;-2.24;-0.84;
-1.38;-0.68;-0.01;-1.50;-0.49;-1.27;-0.78;
-0.86;-0.09;-0.01;-1.50;-0.40;-0.68;-0.22;
-0.91;0.37;-0.01;-1.50;-0.07;-0.70;0.25;
-1.25;0.44;-0.01;-1.50;0.16;-1.02;0.31;
-1.50;0.23;-0.01;-1.50;0.15;-1.30;0.15;
-1.52;0.03;-0.00;-1.50;0.03;-1.37;-0.04;
-1.42;-0.03;-0.00;-1.50;-0.06;-1.30;-0.08;
-1.35;0.03;-0.00;-1.50;-0.06;-1.25;0.00;
-1.36;0.09;-0.00;-1.50;-0.01;-1.28;0.05;
-1.42;0.10;-0.00;-1.50;0.03;-1.37;0.09;
-1.49;0.07;-0.00;-1.50;0.04;-1.46;0.07;
-1.52;0.02;-0.00;-1.50;0.02;-1.51;0.01;
-1.52;-0.01;-0.00;-1.50;0.01;-1.53;0.01;
-1.51;-0.01;-0.00;-1.50;-0.00;-1.54;0.00;
-1.51;-0.01;-0.00;-1.50;0.00;-1.54;0.01;
-1.52;-0.01;-0.00;-1.50;0.01;-1.55;0.02;
-1.53;-0.01;-0.00;-1.50;0.01;-1.57;0.00;
-1.53;-0.02;-0.00;-1.50;0.01;-1.59;0.02;
-1.55;-0.02;-0.00;-1.50;0.01;-1.61;0.02;
-1.56;-0.03;-0.00;-1.50;0.02;-1.62;-0.01;
-1.56;-0.04;-0.00;-1.50;0.01;-1.61;-0.01;
-1.54;-0.04;-0.00;-1.50;0.00;-1.57;-0.05;
-1.51;-0.03;-0.00;-1.50;-0.01;-1.52;-0.04;
-1.49;-0.02;-0.00;-1.50;-0.01;-1.49;-0.01;
-1.48;0.00;-0.00;-1.50;-0.00;-1.49;0.00;
-1.50;0.01;-0.00;-1.50;0.01;-1.50;0.02;
-1.51;0.01;-0.00;-1.50;0.01;-1.52;0.02;
