47;-0.01;0.50;0.01;0.46;-0.02;
0.48;-0.01;0.50;0.00;0.47;-0.01;
4;0.50;0.01;0.42;-0.03;
0.47;-0.04;0.50;-0.01;0.44;-0.02;
0.47;-0.01;0.50;0.01;0.46;-0.02;
0.48;-0.01;0.50;0.00;0.47;-0.01;
0.48;-0.01;0.50;0.00;0.47;0.00;
0.48;-0.01;0.50;0.01;0.46;0.02;
0.47;-0.01;0.50;0.01;0.44;0.03;
0.45;-0.00;0.50;0.02;0.43;0.02;
0.45;-0.02;0.50;0.01;0.44;-0.00;
0.47;-0.03;0.50;-0.00;0.46;-0.02;
0.49;-0.02;0.50;-0.01;0.49;-0.02;
0.50;-0.01;0.50;-0.01;0.51;-0.02;
0.51;-0.00;0.50;-0.01;0.50;-0.03;
0.49;0.02;0.50;0.01;0.48;0.02;
0.47;0.00;0.50;0.02;0.46;0.01;
0.47;-0.01;0.50;0.01;0.46;-0.00;
0.48;-0.02;0.50;-0.00;0.47;0.01;
0.48;-0.01;0.50;0.01;0.46;0.02;
0.47;0.00;0.50;0.02;0.45;0.02;
0.46;-0.01;0.50;0.01;0.44;0.00;
0.45;-0.01;0.50;0.01;0.45;-0.02;
0.48;-0.03;0.50;-0.01;0.48;-0.04;
0.51;-0.02;0.50;-0.02;0.51;-0.04;
0.52;0.00;0.50;-0.01;0.52;-0.00;
0.51;0.01;0.50;0.00;0.51;0.01;
0.50;0.01;0.50;0.01;0.50;0.02;
0.49;0.00;0.50;0.01;0.47;0.04;
0.46;0.01;0.50;0.03;0.44;0.04;
0.44;-0.01;0.50;0.03;0.41;0.03;
0.43;-0.02;0.50;0.02;0.39;0.01;
0.43;-0.03;0.50;0.02;0.40;-0.02;
0.44;-0.04;0.50;0.01;0.42;-0.03;
0.47;-0.04;0.50;-0.01;0.45;-0.03;
0.48;-0.02;0.50;-0.00;0.47;-0.02;
0.48;-0.01;0.50;0.00;0.48;-0.01;
0.49;-0.01;0.50;0.00;0.48;0.00;
0.49;-0.01;0.50;0.00;0.48;0.02;
0.48;0.00;0.50;0.01;0.47;0.03;
0.47;-0.00;0.50;0.01;0.46;0.01;
0.47;-0.01;0.50;0.01;0.47;-0.01;
0.49;-0.02;0.50;-0.01;0.48;-0.01;
0.50;-0.01;0.50;-0.01;0.49;-0.01;
0.49;0.01;0.50;0.01;0.49;-0.01;
0.49;-0.01;0.50;0.00;0.49;-0.02;
0.50;-0.01;0.50;-0.00;0.50;-0.01;
0.51;-0.01;0.50;-0.01;0.50;0.00;
0.49;0.01;0.50;0.01;0.49;0.02;
0.49;0.00;0.50;0.01;0.48;0.03;
0.48;-0.00;0.50;0.01;0.46;0.03;
0.46;-0.00;0.50;0.02;0.44;0.01;
0.45;-0.02;0.50;0.02;0.45;-0.01;
0.47;-0.03;0.50;-0.01;0.47;-0.03;
0.50;-0.02;0.50;-0.01;0.49;-0.03;
0.50;-0.00;0.50;-0.01;0.50;0.00;
0.49;0.01;0.50;0.01;0.49;0.01;
0.48;0.00;0.50;0.01;0.46;0.02;
0.46;-0.00;0.50;0.02;0.45;0.02;
0.46;-0.02;0.50;0.01;0.45;0.00;
0.48;-0.03;0.50;-0.01;0.47;-0.02;
0.49;-0.01;0.50;-0.00;0.49;-0.01;
0.50;-0.01;0.50;-0.01;0.51;-0.01;
0.52;-0.00;0.50;-0.01;0.52;-0.02;
0.52;0.01;0.50;-0.00;0.51;0.01;
0.50;0.02;0.50;0.01;0.48;0.02;
0.47;0.01;0.50;0.02;0.46;0.02;
0.46;-0.01;0.50;0.01;0.45;0.00;
0.47;-0.02;0.50;0.00;0.46;-0.01;
0.48;-0.02;0.50;-0.00;0.47;0.00;
0.49;-0.01;0.50;-0.00;0.48;0.00;
0.49;-0.00;0.50;0.00;0.48;0.00;
0.48;-0.00;0.50;0.01;0.47;0.00;
0.47;-0.00;0.50;0.01;0.46;0.00;
0.46;-0.01;0.50;0.02;0.45;-0.01;
0.46;-0.02;0.50;0.01;0.46;-0.02;
0.48;-0.03;0.50;-0.01;0.48;-0.03;
0.50;-0.01;0.50;-0.01;0.51;-0.01;
0.52;-0.01;0.50;-0.01;0.53;-0.00;
0.53;0.00;0.50;-0.02;0.53;0.02;
0.52;0.02;0.50;0.01;0.50;0.04;
0.47;0.02;0.50;0.03;0.45;0.04;
0.44;0.00;0.50;0.03;0.42;0.00;
0.43;-0.03;0.50;0.02;0.42;-0.04;
0.46;-0.04;0.50;-0.01;0.46;-0.05;
0.50;-0.03;0.50;-0.02;0.50;-0.03;
0.52;-0.01;0.50;-0.02;0.52;0.00;
0.52;0.01;0.50;-0.00;0.51;0.03;
